Easting,Northing,Elevation,Chainage,Velocity,,,,,,,
512281.91,6940502.05,-23.82,0,670,,,,,,,
512281.91,6940502.05,-23.82,0,675,,,,,,,
512281.91,6940502.05,-23.99,0,675,,,,,,,
512281.91,6940502.05,-23.99,0,680,,,,,,,
512281.91,6940502.05,-24.17,0,680,,,,,,,
512281.91,6940502.05,-24.17,0,685,,,,,,,
512281.91,6940502.05,-24.17,0,685,,,,,,,
512281.91,6940502.05,-24.34,0,685,,,,,,,
512281.91,6940502.05,-24.34,0,690,,,,,,,
512281.91,6940502.05,-24.4,0,690,,,,,,,
512281.78,6940502.16,-10.09,0.16,350,,,,,,,
512281.78,6940502.16,-10.09,0.16,355,,,,,,,
512281.78,6940502.16,-24.11,0.17,680,,,,,,,
512281.78,6940502.16,-24.11,0.17,685,,,,,,,
512281.78,6940502.16,-24.11,0.17,685,,,,,,,
512281.77,6940502.17,1.64,0.18,250,,,,,,,
512281.77,6940502.17,1.64,0.18,255,,,,,,,
512281.74,6940502.2,-0.36,0.22,150,,,,,,,
512281.69,6940502.24,-2.94,0.28,160,,,,,,,
512281.69,6940502.24,-2.94,0.28,165,,,,,,,
512281.68,6940502.24,2.79,0.29,240,,,,,,,
512281.68,6940502.24,2.79,0.29,245,,,,,,,
512281.69,6940502.24,-0.08,0.29,160,,,,,,,
512281.69,6940502.24,-0.08,0.29,165,,,,,,,
512281.68,6940502.25,3.55,0.3,215,,,,,,,
512281.68,6940502.25,3.55,0.3,220,,,,,,,
512281.68,6940502.25,3.32,0.3,220,,,,,,,
512281.68,6940502.25,3.32,0.3,225,,,,,,,
512281.68,6940502.25,3.19,0.3,225,,,,,,,
512281.68,6940502.25,3.19,0.3,230,,,,,,,
512281.68,6940502.25,3.05,0.3,230,,,,,,,
512281.68,6940502.25,3.05,0.3,235,,,,,,,
512281.68,6940502.25,3.05,0.3,235,,,,,,,
512281.68,6940502.25,2.92,0.3,235,,,,,,,
512281.68,6940502.25,2.92,0.3,240,,,,,,,
512281.68,6940502.25,2.79,0.3,240,,,,,,,
512281.68,6940502.25,2.79,0.3,245,,,,,,,
512281.68,6940502.25,2.63,0.3,245,,,,,,,
512281.68,6940502.25,2.63,0.3,250,,,,,,,
512281.68,6940502.25,2.45,0.3,250,,,,,,,
512281.68,6940502.25,2.45,0.3,255,,,,,,,
512281.68,6940502.25,1.94,0.3,255,,,,,,,
512281.68,6940502.25,1.94,0.3,260,,,,,,,
512281.68,6940502.25,1.94,0.3,260,,,,,,,
512281.68,6940502.25,1.93,0.3,255,,,,,,,
512281.68,6940502.25,1.93,0.3,255,,,,,,,
512281.68,6940502.25,1.93,0.3,260,,,,,,,
512281.68,6940502.25,1.93,0.3,260,,,,,,,
512281.68,6940502.25,1.93,0.3,260,,,,,,,
512281.68,6940502.25,1.93,0.3,260,,,,,,,
512281.68,6940502.25,1.62,0.3,250,,,,,,,
512281.68,6940502.25,1.62,0.3,255,,,,,,,
512281.68,6940502.25,1.45,0.3,245,,,,,,,
512281.68,6940502.25,1.45,0.3,250,,,,,,,
512281.68,6940502.25,1.31,0.3,240,,,,,,,
512281.68,6940502.25,1.31,0.3,245,,,,,,,
512281.68,6940502.25,1.2,0.3,235,,,,,,,
512281.68,6940502.25,1.2,0.3,240,,,,,,,
512281.68,6940502.25,1.09,0.3,230,,,,,,,
512281.68,6940502.25,1.09,0.3,235,,,,,,,
512281.68,6940502.25,1.09,0.3,235,,,,,,,
512281.68,6940502.25,1.09,0.3,235,,,,,,,
512281.68,6940502.25,0.99,0.3,225,,,,,,,
512281.68,6940502.25,0.99,0.3,230,,,,,,,
512281.68,6940502.25,0.9,0.3,220,,,,,,,
512281.68,6940502.25,0.9,0.3,225,,,,,,,
512281.68,6940502.25,0.81,0.3,215,,,,,,,
512281.68,6940502.25,0.81,0.3,220,,,,,,,
512281.68,6940502.25,0.73,0.3,210,,,,,,,
512281.68,6940502.25,0.73,0.3,215,,,,,,,
512281.68,6940502.25,0.65,0.3,205,,,,,,,
512281.68,6940502.25,0.65,0.3,210,,,,,,,
512281.68,6940502.25,0.65,0.3,210,,,,,,,
512281.68,6940502.25,0.65,0.3,210,,,,,,,
512281.68,6940502.25,0.57,0.3,200,,,,,,,
512281.68,6940502.25,0.57,0.3,205,,,,,,,
512281.68,6940502.25,0.49,0.3,195,,,,,,,
512281.68,6940502.25,0.49,0.3,200,,,,,,,
512281.68,6940502.25,0.41,0.3,190,,,,,,,
512281.68,6940502.25,0.41,0.3,195,,,,,,,
512281.68,6940502.25,0.33,0.3,185,,,,,,,
512281.68,6940502.25,0.33,0.3,190,,,,,,,
512281.68,6940502.25,0.25,0.3,180,,,,,,,
512281.68,6940502.25,0.25,0.3,185,,,,,,,
512281.68,6940502.25,0.25,0.3,185,,,,,,,
512281.68,6940502.25,0.25,0.3,185,,,,,,,
512281.68,6940502.25,0.17,0.3,175,,,,,,,
512281.68,6940502.25,0.17,0.3,180,,,,,,,
512281.68,6940502.25,0.09,0.3,170,,,,,,,
512281.68,6940502.25,0.09,0.3,175,,,,,,,
512281.68,6940502.25,0.01,0.3,165,,,,,,,
512281.68,6940502.25,0.01,0.3,170,,,,,,,
512281.68,6940502.25,-0.08,0.3,160,,,,,,,
512281.68,6940502.25,-0.08,0.3,165,,,,,,,
512281.68,6940502.25,-0.17,0.3,155,,,,,,,
512281.68,6940502.25,-0.17,0.3,160,,,,,,,
512281.68,6940502.25,-0.17,0.3,160,,,,,,,
512281.68,6940502.25,-0.17,0.3,160,,,,,,,
512281.68,6940502.25,-0.26,0.3,150,,,,,,,
512281.68,6940502.25,-0.26,0.3,155,,,,,,,
512281.68,6940502.25,-0.35,0.3,150,,,,,,,
512281.68,6940502.25,-2.57,0.3,150,,,,,,,
512281.68,6940502.25,-2.7,0.3,150,,,,,,,
512281.68,6940502.25,-2.7,0.3,155,,,,,,,
512281.68,6940502.25,-2.82,0.3,155,,,,,,,
512281.68,6940502.25,-2.82,0.3,160,,,,,,,
512281.68,6940502.25,-2.82,0.3,160,,,,,,,
512281.68,6940502.25,-2.94,0.3,160,,,,,,,
512281.68,6940502.25,-2.94,0.3,165,,,,,,,
512281.68,6940502.25,-3.05,0.3,165,,,,,,,
512281.68,6940502.25,-3.05,0.3,170,,,,,,,
512281.68,6940502.25,-3.16,0.3,170,,,,,,,
512281.68,6940502.25,-3.16,0.3,175,,,,,,,
512281.68,6940502.25,-3.27,0.3,175,,,,,,,
512281.68,6940502.25,-3.27,0.3,180,,,,,,,
512281.68,6940502.25,-3.37,0.3,180,,,,,,,
512281.68,6940502.25,-3.37,0.3,185,,,,,,,
512281.68,6940502.25,-3.37,0.3,185,,,,,,,
512281.68,6940502.25,-3.48,0.3,185,,,,,,,
512281.68,6940502.25,-3.48,0.3,190,,,,,,,
512281.68,6940502.25,-3.58,0.3,190,,,,,,,
512281.68,6940502.25,-3.58,0.3,195,,,,,,,
512281.68,6940502.25,-3.68,0.3,195,,,,,,,
512281.68,6940502.25,-3.68,0.3,200,,,,,,,
512281.68,6940502.25,-3.78,0.3,200,,,,,,,
512281.68,6940502.25,-3.78,0.3,205,,,,,,,
512281.68,6940502.25,-3.89,0.3,205,,,,,,,
512281.68,6940502.25,-3.89,0.3,210,,,,,,,
512281.68,6940502.25,-3.89,0.3,210,,,,,,,
512281.68,6940502.25,-3.99,0.3,210,,,,,,,
512281.68,6940502.25,-3.99,0.3,215,,,,,,,
512281.68,6940502.25,-4.09,0.3,215,,,,,,,
512281.68,6940502.25,-4.09,0.3,220,,,,,,,
512281.68,6940502.25,-4.2,0.3,220,,,,,,,
512281.68,6940502.25,-4.2,0.3,225,,,,,,,
512281.68,6940502.25,-4.3,0.3,225,,,,,,,
512281.68,6940502.25,-4.3,0.3,230,,,,,,,
512281.68,6940502.25,-4.4,0.3,230,,,,,,,
512281.68,6940502.25,-4.4,0.3,235,,,,,,,
512281.68,6940502.25,-4.4,0.3,235,,,,,,,
512281.68,6940502.25,-4.51,0.3,235,,,,,,,
512281.68,6940502.25,-4.51,0.3,240,,,,,,,
512281.68,6940502.25,-4.62,0.3,240,,,,,,,
512281.68,6940502.25,-4.62,0.3,245,,,,,,,
512281.68,6940502.25,-4.73,0.3,245,,,,,,,
512281.68,6940502.25,-4.73,0.3,250,,,,,,,
512281.68,6940502.25,-4.84,0.3,250,,,,,,,
512281.68,6940502.25,-4.84,0.3,255,,,,,,,
512281.68,6940502.25,-4.95,0.3,255,,,,,,,
512281.68,6940502.25,-4.95,0.3,260,,,,,,,
512281.68,6940502.25,-4.95,0.3,260,,,,,,,
512281.68,6940502.25,-5.07,0.3,260,,,,,,,
512281.68,6940502.25,-5.07,0.3,265,,,,,,,
512281.68,6940502.25,-5.2,0.3,265,,,,,,,
512281.68,6940502.25,-5.2,0.3,270,,,,,,,
512281.68,6940502.25,-5.32,0.3,270,,,,,,,
512281.68,6940502.25,-5.32,0.3,275,,,,,,,
512281.68,6940502.25,-5.45,0.3,275,,,,,,,
512281.68,6940502.25,-5.45,0.3,280,,,,,,,
512281.68,6940502.25,-5.59,0.3,280,,,,,,,
512281.68,6940502.25,-5.59,0.3,285,,,,,,,
512281.68,6940502.25,-5.59,0.3,285,,,,,,,
512281.68,6940502.25,-5.73,0.3,285,,,,,,,
512281.68,6940502.25,-5.73,0.3,290,,,,,,,
512281.68,6940502.25,-5.89,0.3,290,,,,,,,
512281.68,6940502.25,-5.89,0.3,295,,,,,,,
512281.68,6940502.25,-6.05,0.3,295,,,,,,,
512281.68,6940502.25,-6.05,0.3,300,,,,,,,
512281.68,6940502.25,-6.23,0.3,300,,,,,,,
512281.68,6940502.25,-6.23,0.3,305,,,,,,,
512281.68,6940502.25,-6.42,0.3,305,,,,,,,
512281.68,6940502.25,-6.42,0.3,310,,,,,,,
512281.68,6940502.25,-6.42,0.3,310,,,,,,,
512281.68,6940502.25,-6.63,0.3,310,,,,,,,
512281.68,6940502.25,-6.63,0.3,315,,,,,,,
512281.68,6940502.25,-6.86,0.3,315,,,,,,,
512281.68,6940502.25,-6.86,0.3,320,,,,,,,
512281.68,6940502.25,-7.13,0.3,320,,,,,,,
512281.68,6940502.25,-7.13,0.3,325,,,,,,,
512281.68,6940502.25,-7.44,0.3,325,,,,,,,
512281.68,6940502.25,-7.44,0.3,330,,,,,,,
512281.68,6940502.25,-7.81,0.3,330,,,,,,,
512281.68,6940502.25,-7.81,0.3,335,,,,,,,
512281.68,6940502.25,-7.81,0.3,335,,,,,,,
512281.68,6940502.25,-8.25,0.3,335,,,,,,,
512281.68,6940502.25,-8.25,0.3,340,,,,,,,
512281.68,6940502.25,-8.79,0.3,340,,,,,,,
512281.68,6940502.25,-8.79,0.3,345,,,,,,,
512281.68,6940502.25,-9.4,0.3,345,,,,,,,
512281.68,6940502.25,-9.4,0.3,350,,,,,,,
512281.68,6940502.25,-10.08,0.3,350,,,,,,,
512281.68,6940502.25,-10.08,0.3,355,,,,,,,
512281.68,6940502.25,-10.83,0.3,355,,,,,,,
512281.68,6940502.25,-10.83,0.3,360,,,,,,,
512281.68,6940502.25,-10.83,0.3,360,,,,,,,
512281.68,6940502.25,-11.74,0.3,360,,,,,,,
512281.68,6940502.25,-11.74,0.3,365,,,,,,,
512281.68,6940502.25,-13.81,0.3,365,,,,,,,
512281.68,6940502.25,-13.81,0.3,370,,,,,,,
512281.68,6940502.25,-16.33,0.3,370,,,,,,,
512281.68,6940502.25,-16.33,0.3,375,,,,,,,
512281.68,6940502.25,-16.91,0.3,375,,,,,,,
512281.68,6940502.25,-16.91,0.3,380,,,,,,,
512281.68,6940502.25,-17.31,0.3,380,,,,,,,
512281.68,6940502.25,-17.31,0.3,385,,,,,,,
512281.68,6940502.25,-17.31,0.3,385,,,,,,,
512281.68,6940502.25,-17.62,0.3,385,,,,,,,
512281.68,6940502.25,-17.62,0.3,390,,,,,,,
512281.68,6940502.25,-17.89,0.3,390,,,,,,,
