Easting,Northing,Elevation,Chainage,VS
510200.48,6942921.80,25.60,0.50,955.00
510200.48,6942921.80,25.39,0.50,960.00
510200.48,6942921.80,25.17,0.50,965.00
510200.48,6942921.80,24.94,0.50,970.00
510200.48,6942921.80,24.70,0.50,975.00
510200.48,6942921.80,24.46,0.50,980.00
510200.48,6942921.80,24.22,0.50,985.00
510200.48,6942921.80,23.98,0.50,990.00
510200.48,6942921.80,23.70,0.50,995.00
510200.53,6942921.78,41.50,0.60,390.00
510200.78,6942921.65,42.00,0.80,395.00
510200.74,6942921.67,44.21,0.80,420.00
510200.86,6942921.61,43.00,0.90,410.00
510200.84,6942921.62,37.00,0.90,610.00
510200.93,6942921.58,41.25,1.00,385.00
510200.93,6942921.58,40.46,1.00,385.00
510200.93,6942921.58,41.72,1.00,390.00
510200.93,6942921.58,40.19,1.00,390.00
510200.93,6942921.58,42.07,1.00,395.00
510200.93,6942921.58,39.96,1.00,395.00
510200.93,6942921.58,42.38,1.00,400.00
510200.93,6942921.58,39.83,1.00,400.00
510200.93,6942921.58,42.70,1.00,405.00
510200.93,6942921.58,39.70,1.00,405.00
510200.93,6942921.58,43.02,1.00,410.00
510200.93,6942921.58,39.57,1.00,410.00
510200.93,6942921.58,43.42,1.00,415.00
510200.93,6942921.58,39.47,1.00,415.00
510200.93,6942921.58,44.00,1.00,420.00
510200.93,6942921.58,39.39,1.00,420.00
510200.93,6942921.58,39.31,1.00,425.00
510200.93,6942921.58,39.22,1.00,430.00
510200.93,6942921.58,39.14,1.00,435.00
510200.93,6942921.58,39.06,1.00,440.00
510200.93,6942921.58,38.99,1.00,445.00
510200.93,6942921.58,38.93,1.00,450.00
510200.93,6942921.58,38.86,1.00,455.00
510200.93,6942921.58,38.80,1.00,460.00
510200.93,6942921.58,38.74,1.00,465.00
510200.93,6942921.58,38.68,1.00,470.00
510200.93,6942921.58,38.62,1.00,475.00
510200.93,6942921.58,38.56,1.00,480.00
510200.93,6942921.58,38.50,1.00,485.00
510200.96,6942921.56,38.50,1.00,485.00
510200.93,6942921.58,38.44,1.00,490.00
510200.93,6942921.58,38.39,1.00,495.00
510200.93,6942921.58,38.33,1.00,500.00
510200.93,6942921.58,38.28,1.00,505.00
510200.93,6942921.58,38.22,1.00,510.00
510200.93,6942921.58,38.16,1.00,515.00
510200.93,6942921.58,38.11,1.00,520.00
510200.93,6942921.58,38.05,1.00,525.00
510200.93,6942921.58,38.00,1.00,530.00
510200.97,6942921.55,38.00,1.00,530.00
510200.93,6942921.58,37.94,1.00,535.00
510200.93,6942921.58,37.88,1.00,540.00
510200.93,6942921.58,37.82,1.00,545.00
510200.93,6942921.58,37.77,1.00,550.00
510200.93,6942921.58,37.71,1.00,555.00
510200.93,6942921.58,37.65,1.00,560.00
510200.93,6942921.58,37.59,1.00,565.00
510200.93,6942921.58,37.53,1.00,570.00
510200.93,6942921.58,37.47,1.00,575.00
510200.93,6942921.58,37.41,1.00,580.00
510200.93,6942921.58,37.34,1.00,585.00
510200.93,6942921.58,37.27,1.00,590.00
510200.93,6942921.58,37.20,1.00,595.00
510200.93,6942921.58,37.14,1.00,600.00
510200.93,6942921.58,37.07,1.00,605.00
510200.93,6942921.58,37.00,1.00,610.00
510200.93,6942921.58,36.92,1.00,615.00
510200.93,6942921.58,36.84,1.00,620.00
510200.93,6942921.58,36.76,1.00,625.00
510200.93,6942921.58,36.68,1.00,630.00
510200.93,6942921.58,36.60,1.00,635.00
510200.93,6942921.58,36.52,1.00,640.00
510200.93,6942921.58,36.43,1.00,645.00
510200.93,6942921.58,36.34,1.00,650.00
510200.93,6942921.58,36.25,1.00,655.00
510200.93,6942921.58,36.16,1.00,660.00
510200.93,6942921.58,36.07,1.00,665.00
510200.93,6942921.58,35.97,1.00,670.00
510200.93,6942921.58,35.88,1.00,675.00
510200.93,6942921.58,35.78,1.00,680.00
510200.93,6942921.58,35.68,1.00,685.00
510200.93,6942921.58,35.58,1.00,690.00
510200.93,6942921.58,35.49,1.00,695.00
510200.93,6942921.58,35.39,1.00,700.00
510200.93,6942921.58,35.29,1.00,705.00
510200.93,6942921.58,35.19,1.00,710.00
510200.93,6942921.58,35.09,1.00,715.00
510200.93,6942921.58,34.99,1.00,720.00
510200.93,6942921.58,34.89,1.00,725.00
510200.93,6942921.58,34.79,1.00,730.00
510200.93,6942921.58,34.69,1.00,735.00
510200.93,6942921.58,34.59,1.00,740.00
510200.93,6942921.58,34.49,1.00,745.00
510200.93,6942921.58,34.37,1.00,750.00
510200.93,6942921.58,34.25,1.00,755.00
510200.93,6942921.58,34.14,1.00,760.00
510200.93,6942921.58,34.02,1.00,765.00
510200.93,6942921.58,33.88,1.00,770.00
510200.93,6942921.58,33.73,1.00,775.00
510200.93,6942921.58,33.58,1.00,780.00
510200.93,6942921.58,33.41,1.00,785.00
510200.93,6942921.58,33.22,1.00,790.00
510200.93,6942921.58,33.02,1.00,795.00
510200.93,6942921.58,32.78,1.00,800.00
510200.93,6942921.58,32.54,1.00,805.00
510200.93,6942921.58,32.28,1.00,810.00
510200.93,6942921.58,32.02,1.00,815.00
510200.93,6942921.58,31.78,1.00,820.00
510200.93,6942921.58,31.55,1.00,825.00
510200.93,6942921.58,31.34,1.00,830.00
510200.93,6942921.58,31.13,1.00,835.00
510200.93,6942921.58,30.93,1.00,840.00
510200.93,6942921.58,30.72,1.00,845.00
510200.93,6942921.58,30.52,1.00,850.00
510200.93,6942921.58,30.30,1.00,855.00
510200.93,6942921.58,30.08,1.00,860.00
510200.93,6942921.58,29.85,1.00,865.00
510200.93,6942921.58,29.60,1.00,870.00
510200.93,6942921.58,29.33,1.00,875.00
510200.93,6942921.58,29.05,1.00,880.00
510200.93,6942921.58,28.76,1.00,885.00
510200.93,6942921.58,28.47,1.00,890.00
510200.93,6942921.58,28.19,1.00,895.00
510200.93,6942921.58,27.92,1.00,900.00
510200.93,6942921.58,27.67,1.00,905.00
510200.93,6942921.58,27.43,1.00,910.00
510200.93,6942921.58,27.22,1.00,915.00
510200.89,6942921.59,27.00,1.00,920.00
510200.93,6942921.58,27.00,1.00,920.00
510200.93,6942921.58,26.80,1.00,925.00
510200.93,6942921.58,26.60,1.00,930.00
510200.93,6942921.58,26.40,1.00,935.00
510200.93,6942921.58,26.21,1.00,940.00
510200.93,6942921.58,26.01,1.00,945.00
510200.93,6942921.58,25.80,1.00,950.00
510200.93,6942921.58,25.60,1.00,955.00
510200.93,6942921.58,25.38,1.00,960.00
510200.93,6942921.58,25.16,1.00,965.00
510200.93,6942921.58,24.93,1.00,970.00
510200.93,6942921.58,24.69,1.00,975.00
510200.93,6942921.58,24.45,1.00,980.00
510200.93,6942921.58,24.21,1.00,985.00
510200.93,6942921.58,23.97,1.00,990.00
510200.93,6942921.58,23.69,1.00,995.00
510201.15,6942921.47,41.50,1.20,385.00
510201.13,6942921.47,42.50,1.20,400.00
510201.08,6942921.50,39.00,1.20,445.00
510201.21,6942921.43,35.00,1.30,720.00
510201.29,6942921.39,42.00,1.40,390.00
510201.31,6942921.38,44.00,1.40,420.00
510201.41,6942921.33,41.00,1.50,380.00
510201.37,6942921.35,41.67,1.50,385.00
510201.37,6942921.35,40.44,1.50,385.00
510201.37,6942921.35,42.06,1.50,390.00
510201.37,6942921.35,40.19,1.50,390.00
510201.37,6942921.35,42.34,1.50,395.00
510201.37,6942921.35,39.97,1.50,395.00
510201.37,6942921.35,42.62,1.50,400.00
510201.37,6942921.35,39.85,1.50,400.00
510201.37,6942921.35,42.89,1.50,405.00
510201.37,6942921.35,39.73,1.50,405.00
510201.37,6942921.35,43.18,1.50,410.00
510201.37,6942921.35,39.61,1.50,410.00
510201.37,6942921.35,43.48,1.50,415.00
510201.37,6942921.35,39.49,1.50,415.00
510201.37,6942921.35,43.99,1.50,420.00
510201.37,6942921.35,39.42,1.50,420.00
510201.37,6942921.35,39.34,1.50,425.00
510201.37,6942921.35,39.26,1.50,430.00
510201.37,6942921.35,39.18,1.50,435.00
510201.37,6942921.35,39.11,1.50,440.00
510201.37,6942921.35,39.03,1.50,445.00
510201.37,6942921.35,38.96,1.50,450.00
510201.37,6942921.35,38.90,1.50,455.00
510201.37,6942921.35,38.84,1.50,460.00
510201.37,6942921.35,38.78,1.50,465.00
510201.37,6942921.35,38.72,1.50,470.00
510201.37,6942921.35,38.66,1.50,475.00
510201.37,6942921.35,38.59,1.50,480.00
510201.37,6942921.35,38.53,1.50,485.00
510201.37,6942921.35,38.47,1.50,490.00
510201.37,6942921.35,38.42,1.50,495.00
510201.37,6942921.35,38.36,1.50,500.00
510201.37,6942921.35,38.31,1.50,505.00
510201.37,6942921.35,38.25,1.50,510.00
510201.37,6942921.35,38.19,1.50,515.00
510201.37,6942921.35,38.14,1.50,520.00
510201.37,6942921.35,38.08,1.50,525.00
510201.37,6942921.35,38.02,1.50,530.00
510201.37,6942921.35,37.97,1.50,535.00
510201.37,6942921.35,37.91,1.50,540.00
510201.37,6942921.35,37.85,1.50,545.00
510201.37,6942921.35,37.79,1.50,550.00
510201.37,6942921.35,37.73,1.50,555.00
510201.37,6942921.35,37.68,1.50,560.00
510201.37,6942921.35,37.62,1.50,565.00
510201.37,6942921.35,37.56,1.50,570.00
510201.36,6942921.35,37.50,1.50,575.00
510201.37,6942921.35,37.50,1.50,575.00
510201.37,6942921.35,37.43,1.50,580.00
510201.37,6942921.35,37.36,1.50,585.00
510201.37,6942921.35,37.30,1.50,590.00
510201.37,6942921.35,37.23,1.50,595.00
510201.37,6942921.35,37.16,1.50,600.00
510201.37,6942921.35,37.09,1.50,605.00
510201.37,6942921.35,37.02,1.50,610.00
510201.37,6942921.35,36.95,1.50,615.00
510201.37,6942921.35,36.87,1.50,620.00
510201.37,6942921.35,36.79,1.50,625.00
510201.37,6942921.35,36.71,1.50,630.00
510201.37,6942921.35,36.62,1.50,635.00
510201.37,6942921.35,36.54,1.50,640.00
510201.37,6942921.35,36.46,1.50,645.00
510201.37,6942921.35,36.36,1.50,650.00
510201.37,6942921.35,36.27,1.50,655.00
510201.37,6942921.35,36.18,1.50,660.00
510201.37,6942921.35,36.08,1.50,665.00
510201.37,6942921.35,35.99,1.50,670.00
510201.37,6942921.35,35.89,1.50,675.00
510201.37,6942921.35,35.79,1.50,680.00
510201.37,6942921.35,35.69,1.50,685.00
510201.37,6942921.35,35.60,1.50,690.00
510201.37,6942921.35,35.50,1.50,695.00
510201.37,6942921.35,35.40,1.50,700.00
510201.37,6942921.35,35.30,1.50,705.00
510201.37,6942921.35,35.20,1.50,710.00
510201.37,6942921.35,35.10,1.50,715.00
510201.37,6942921.35,35.00,1.50,720.00
510201.37,6942921.35,34.90,1.50,725.00
510201.37,6942921.35,34.80,1.50,730.00
510201.37,6942921.35,34.70,1.50,735.00
510201.37,6942921.35,34.60,1.50,740.00
510201.37,6942921.35,34.49,1.50,745.00
510201.37,6942921.35,34.38,1.50,750.00
510201.37,6942921.35,34.26,1.50,755.00
510201.37,6942921.35,34.14,1.50,760.00
510201.37,6942921.35,34.03,1.50,765.00
510201.37,6942921.35,33.89,1.50,770.00
510201.37,6942921.35,33.74,1.50,775.00
510201.37,6942921.35,33.59,1.50,780.00
510201.37,6942921.35,33.42,1.50,785.00
510201.37,6942921.35,33.23,1.50,790.00
510201.37,6942921.35,33.03,1.50,795.00
510201.37,6942921.35,32.79,1.50,800.00
510201.37,6942921.35,32.54,1.50,805.00
510201.37,6942921.35,32.28,1.50,810.00
510201.37,6942921.35,32.02,1.50,815.00
510201.37,6942921.35,31.79,1.50,820.00
510201.37,6942921.35,31.55,1.50,825.00
510201.37,6942921.35,31.34,1.50,830.00
510201.37,6942921.35,31.13,1.50,835.00
510201.37,6942921.35,30.93,1.50,840.00
510201.37,6942921.35,30.73,1.50,845.00
510201.37,6942921.35,30.52,1.50,850.00
510201.37,6942921.35,30.31,1.50,855.00
510201.37,6942921.35,30.10,1.50,860.00
510201.37,6942921.35,29.87,1.50,865.00
510201.37,6942921.35,29.62,1.50,870.00
510201.37,6942921.35,29.36,1.50,875.00
510201.37,6942921.35,29.07,1.50,880.00
510201.37,6942921.35,28.78,1.50,885.00
510201.37,6942921.35,28.49,1.50,890.00
510201.37,6942921.35,28.21,1.50,895.00
510201.37,6942921.35,27.93,1.50,900.00
510201.37,6942921.35,27.69,1.50,905.00
510201.37,6942921.35,27.44,1.50,910.00
510201.37,6942921.35,27.23,1.50,915.00
510201.37,6942921.35,27.01,1.50,920.00
510201.37,6942921.35,26.80,1.50,925.00
510201.37,6942921.35,26.60,1.50,930.00
510201.37,6942921.35,26.40,1.50,935.00
510201.37,6942921.35,26.20,1.50,940.00
510201.37,6942921.35,26.01,1.50,945.00
510201.37,6942921.35,25.80,1.50,950.00
510201.37,6942921.35,25.59,1.50,955.00
510201.37,6942921.35,25.37,1.50,960.00
510201.37,6942921.35,25.14,1.50,965.00
510201.37,6942921.35,24.91,1.50,970.00
510201.37,6942921.35,24.67,1.50,975.00
510201.37,6942921.35,24.44,1.50,980.00
510201.37,6942921.35,24.20,1.50,985.00
510201.37,6942921.35,23.96,1.50,990.00
510201.37,6942921.35,23.68,1.50,995.00
510201.48,6942921.29,43.50,1.60,415.00
510201.44,6942921.32,39.50,1.60,415.00
510201.48,6942921.30,35.50,1.60,695.00
510201.59,6942921.24,28.50,1.70,890.00
510201.64,6942921.21,41.50,1.80,380.00
510201.63,6942921.22,42.50,1.80,395.00
510201.65,6942921.21,43.00,1.80,405.00
510201.67,6942921.20,36.00,1.80,670.00
510201.71,6942921.18,42.00,1.90,385.00
510201.73,6942921.17,38.50,1.90,490.00
510201.69,6942921.19,34.50,1.90,745.00
510201.82,6942921.12,41.67,2.00,380.00
510201.82,6942921.12,40.74,2.00,380.00
510201.82,6942921.12,42.07,2.00,385.00
510201.82,6942921.12,40.41,2.00,385.00
510201.82,6942921.12,42.34,2.00,390.00
510201.82,6942921.12,40.19,2.00,390.00
510201.82,6942921.12,42.59,2.00,395.00
510201.82,6942921.12,39.99,2.00,395.00
510201.82,6942921.12,42.83,2.00,400.00
510201.82,6942921.12,39.88,2.00,400.00
510201.82,6942921.12,43.06,2.00,405.00
510201.82,6942921.12,39.77,2.00,405.00
510201.82,6942921.12,43.31,2.00,410.00
510201.82,6942921.12,39.66,2.00,410.00
510201.82,6942921.12,43.57,2.00,415.00
510201.82,6942921.12,39.55,2.00,415.00
510201.82,6942921.12,43.94,2.00,420.00
510201.82,6942921.12,39.46,2.00,420.00
510201.82,6942921.12,39.38,2.00,425.00
510201.82,6942921.12,39.31,2.00,430.00
510201.82,6942921.12,39.23,2.00,435.00
510201.82,6942921.12,39.15,2.00,440.00
510201.82,6942921.12,39.08,2.00,445.00
510201.80,6942921.13,39.00,2.00,450.00
510201.82,6942921.12,39.00,2.00,450.00
510201.82,6942921.12,38.94,2.00,455.00
510201.82,6942921.12,38.88,2.00,460.00
510201.82,6942921.12,38.82,2.00,465.00
510201.82,6942921.12,38.75,2.00,470.00
510201.82,6942921.12,38.69,2.00,475.00
510201.82,6942921.12,38.63,2.00,480.00
510201.82,6942921.12,38.57,2.00,485.00
510201.82,6942921.12,38.51,2.00,490.00
510201.82,6942921.12,38.45,2.00,495.00
510201.82,6942921.12,38.39,2.00,500.00
510201.82,6942921.12,38.34,2.00,505.00
510201.82,6942921.12,38.28,2.00,510.00
510201.82,6942921.12,38.22,2.00,515.00
510201.82,6942921.12,38.17,2.00,520.00
510201.82,6942921.12,38.11,2.00,525.00
510201.82,6942921.12,38.05,2.00,530.00
510201.82,6942921.12,37.99,2.00,535.00
510201.82,6942921.12,37.94,2.00,540.00
510201.82,6942921.12,37.88,2.00,545.00
