X,Y,Z,Vs
509522.666800,6944470.745000,31.983150,275
509522.262700,6944470.450000,31.920801,275
509521.858500,6944470.156000,31.859031,275
509521.581100,6944469.954000,31.800000,275
509521.454400,6944469.862000,31.775217,275
509521.050200,6944469.567000,31.697864,275
509520.646100,6944469.273000,31.620256,275
509520.242000,6944468.979000,31.532087,275
509519.837800,6944468.684000,31.439728,275
509519.433700,6944468.390000,31.347087,275
509519.230300,6944468.242000,31.300000,275
509519.029500,6944468.095000,31.267942,275
509518.625400,6944467.801000,31.204258,275
509518.221200,6944467.507000,31.141901,275
509517.817100,6944467.212000,31.083265,275
509517.412900,6944466.918000,31.040785,275
509517.008800,6944466.623000,30.998470,275
509516.604600,6944466.329000,30.956560,275
509516.200500,6944466.035000,30.940109,275
509515.796300,6944465.740000,30.928989,275
509515.392200,6944465.446000,30.917844,275
509514.988100,6944465.151000,30.922274,275
509514.583900,6944464.857000,30.941027,275
509514.179800,6944464.563000,30.959303,275
509513.775600,6944464.268000,30.989414,275
509513.371500,6944463.974000,31.042747,275
509512.967300,6944463.679000,31.105822,275
509512.563200,6944463.385000,31.181290,275
509512.176900,6944463.104000,31.300000,275
509512.159000,6944463.091000,31.324610,275
509511.946700,6944462.936000,31.800000,275
509511.845000,6944462.862000,32.300000,275
509512.086500,6944463.038000,32.800000,275
509512.159000,6944463.091000,32.936415,275
509512.342900,6944463.225000,33.300000,275
509512.539600,6944463.368000,33.800000,275
509512.563200,6944463.385000,33.859228,275
509512.812300,6944463.567000,34.300000,275
509512.817300,6944463.570000,34.800000,275
509512.824300,6944463.575000,35.300000,275
509487.506100,6944445.133000,30.021389,275
509487.910300,6944445.427000,30.025769,275
509488.314400,6944445.722000,30.030242,275
509488.718600,6944446.016000,30.062569,275
509489.122700,6944446.310000,30.108340,275
509489.526800,6944446.605000,30.151902,275
509489.931000,6944446.899000,30.222330,275
509490.206400,6944447.100000,30.300000,275
509490.335100,6944447.194000,30.332331,275
509490.739300,6944447.488000,30.432029,275
509491.143400,6944447.782000,30.534318,275
509491.547600,6944448.077000,30.657265,275
509491.951700,6944448.371000,30.781848,275
509492.011600,6944448.415000,30.800000,275
509492.355900,6944448.666000,30.919277,275
509492.760000,6944448.960000,31.021672,275
509493.164200,6944449.254000,31.104012,275
509493.568300,6944449.549000,31.184252,275
509493.972500,6944449.843000,31.235658,275
509494.376600,6944450.138000,31.245321,275
509494.780700,6944450.432000,31.255730,275
509495.184900,6944450.726000,31.262162,275
509495.589000,6944451.021000,31.237599,275
509495.993200,6944451.315000,31.211860,275
509496.397300,6944451.609000,31.185164,275
509496.801500,6944451.904000,31.156748,275
509497.205600,6944452.198000,31.127811,275
509497.609800,6944452.493000,31.099004,275
509498.013900,6944452.787000,31.089339,275
509498.418100,6944453.081000,31.097543,275
509498.822200,6944453.376000,31.106014,275
509499.226400,6944453.670000,31.125675,275
509499.630500,6944453.965000,31.189280,275
509500.034600,6944454.259000,31.255416,275
509500.322400,6944454.469000,31.300000,275
509500.438800,6944454.553000,31.313697,275
509500.842900,6944454.848000,31.356044,275
509501.247100,6944455.142000,31.405234,275
509501.651200,6944455.437000,31.461555,275
509502.055400,6944455.731000,31.476416,275
509502.863700,6944456.320000,31.461979,275
509503.267800,6944456.614000,31.436875,275
509503.672000,6944456.909000,31.356239,275
509504.047100,6944457.182000,31.300000,275
509504.076100,6944457.203000,31.293647,275
509504.480300,6944457.497000,31.182717,275
509504.884400,6944457.792000,31.026339,275
509505.288500,6944458.086000,30.868782,275
509505.452200,6944458.205000,30.800000,275
509505.692700,6944458.380000,30.663855,275
509506.096800,6944458.675000,30.463966,275
509506.420800,6944458.911000,30.300000,275
509506.501000,6944458.969000,29.820098,275
509506.504100,6944458.972000,29.800000,275
509506.501000,6944458.969000,29.799025,275
509506.096800,6944458.675000,29.731214,275
509505.692700,6944458.380000,29.547205,275
509505.288500,6944458.086000,29.415765,275
509504.952600,6944457.841000,29.300000,275
